,0,1
448,600670,*ST斯达
449,600669,*ST鞍成
450,600659,*ST花雕
451,600656,退市博元
452,600646,ST国嘉
453,600634,*ST富控
454,600632,华联商厦
455,600631,百联股份
456,600627,上电股份
457,600625,PT水仙
458,600614,*ST鹏起
459,600607,上实医药
460,600591,*ST上航
461,600572,康恩贝
462,600553,太行水泥
463,600485,*ST信威
464,600483,福能股份
465,600472,包头铝业
466,600432,退市吉恩
467,600421,ST华嵘
468,600401,退市海润
469,600357,承德钒钛
470,600340,华夏幸福
471,600317,营口港
472,600296,S兰铝
473,600286,S*ST国瓷
474,600282,南钢股份
475,600270,外运发展
476,600263,路桥建设
477,600255,*ST鑫科
478,600253,天方药业
479,600248,陕西建工
480,600240,退市华业
481,600205,S山东铝
482,600181,S*ST云大
483,600175,退市美都
484,600171,上海贝岭
485,600102,莱钢股份
486,600092,S*ST精密
487,600087,退市长油
488,600084,ST中葡
489,600074,退市保千
490,600069,退市银鸽
491,600065,*ST联谊
492,600019,宝钢股份
493,600005,武钢股份
494,600003,ST东北高
495,600002,齐鲁石化
496,600001,邯郸钢铁
497,601360,三六零
498,600861,北京城乡
499,603680,今创集团
500,603329,上海雅仕
501,600690,海尔智家
502,600521,华海药业
503,603629,利通电子
504,603861,白云电器
505,603113,金能科技
506,600323,瀚蓝环境
507,603963,大理药业
508,601006,大秦铁路
509,688177,百奥泰-U
510,603348,文灿股份
511,601319,中国人保
512,600928,西安银行
513,600016,民生银行
514,600193,ST创兴
515,600039,四川路桥
516,601579,会稽山
517,600685,中船防务
518,603860,中公高科
519,603689,皖天然气
520,688198,佰仁医疗
521,601328,交通银行
522,603970,中农立华
523,603517,绝味食品
524,601818,光大银行
525,603669,灵康药业
526,600722,金牛化工
527,600177,雅戈尔
528,603778,乾景园林
529,688608,恒玄科技
530,688078,龙软科技
531,600966,博汇纸业
532,600085,同仁堂
533,603590,康辰药业
534,600167,联美控股
535,603358,华达科技
536,603662,柯力传感
537,600873,梅花生物
538,603610,麒盛科技
539,600897,厦门空港
540,600078,澄星股份
541,688015,交控科技
542,600854,春兰股份
543,600510,黑牡丹
544,603059,倍加洁
545,600029,南方航空
546,688561,奇安信-U
547,600133,东湖高新
548,605009,豪悦护理
549,601998,中信银行
550,603991,至正股份
551,603416,信捷电气
552,600865,百大集团
553,603278,大业股份
554,600275,ST昌鱼
555,688598,金博股份
556,600222,太龙药业
557,601169,北京银行
558,603637,镇海股份
559,601000,唐山港
560,600025,华能水电
561,603001,奥康国际
562,600362,江西铜业
563,600603,广汇物流
564,688389,普门科技
565,600163,中闽能源
566,603167,渤海轮渡
567,600755,厦门国贸
568,600769,祥龙电业
569,600729,重庆百货
570,603030,全筑股份
571,600230,沧州大化
572,600973,宝胜股份
573,600825,新华传媒
574,600620,天宸股份
575,600716,凤凰股份
576,601088,中国神华
577,601933,永辉超市
578,601699,潞安环能
579,600318,新力金融
580,603567,珍宝岛
581,600059,古越龙山
582,600648,外高桥
583,600023,浙能电力
584,601128,常熟银行
585,605001,威奥股份
586,601939,建设银行
587,600488,天药股份
588,603041,美思德
589,601366,利群股份
590,605369,拱东医疗
591,600316,洪都航空
592,600835,上海机电
593,603869,新智认知
594,688368,晶丰明源
595,600378,昊华科技
596,600738,兰州民百
597,603299,苏盐井神
598,603956,威派格
599,688500,慧辰资讯
600,688063,派能科技
601,600258,首旅酒店
602,600754,锦江酒店
603,600027,华电国际
604,603025,大豪科技
605,600735,新华锦
606,600673,东阳光
607,600597,光明乳业
608,600208,新湖中宝
609,601886,江河集团
610,600882,妙可蓝多
611,600188,兖州煤业
612,600650,锦江投资
613,688012,中微公司
614,600012,皖通高速
615,600091,ST明科
616,600383,金地集团
617,600616,金枫酒业
618,688200,华峰测控
619,603098,森特股份
620,605222,起帆电缆
621,600466,蓝光发展
622,600080,ST金花
623,600064,南京高科
624,603978,深圳新星
625,600535,天士力
626,603093,南华期货
627,600593,大连圣亚
628,601098,中南传媒
629,603486,科沃斯
630,603661,恒林股份
631,603109,神驰机电
632,600962,国投中鲁
633,688010,福光股份
634,603356,华菱精工
635,603717,天域生态
636,688202,美迪西
637,600057,厦门象屿
638,688520,神州细胞-U
639,600468,百利电气
640,601828,美凯龙
641,600808,马钢股份
642,601339,百隆东方
643,605318,法狮龙
644,601158,重庆水务
645,600108,亚盛集团
646,600527,江南高纤
647,600455,博通股份
648,600760,中航沈飞
649,603123,翠微股份
650,600657,信达地产
651,688066,航天宏图
652,600079,人福医药
653,601798,蓝科高新
654,603023,威帝股份
655,600375,汉马科技
656,600346,恒力石化
657,600137,浪莎股份
658,600392,盛和资源
659,603499,翔港科技
660,601111,中国国航
661,603458,勘设股份
662,603626,科森科技
663,600611,大众交通
664,600708,光明地产
665,600418,江淮汽车
666,688159,有方科技
667,600717,天津港
668,688577,浙海德曼
669,600776,东方通信
670,603387,基蛋生物
671,600615,丰华股份
672,603300,华铁应急
673,600639,浦东金桥
674,600731,湖南海利
675,600787,中储股份
676,603305,旭升股份
677,601101,昊华能源
678,601900,南方传媒
679,603823,百合花
680,603583,捷昌驱动
681,600231,凌钢股份
682,600815,*ST厦工
683,600674,川投能源
684,603297,永新光学
685,600898,*ST美讯
686,600220,江苏阳光
687,600579,克劳斯
688,603031,安德利
689,600176,中国巨石
690,600795,国电电力
691,600619,海立股份
692,601333,广深铁路
693,600977,中国电影
694,600959,江苏有线
695,600901,江苏租赁
696,603811,诚意药业
697,603659,璞泰来
698,603007,花王股份
699,603885,吉祥航空
700,603288,海天味业
701,603677,奇精机械
702,600260,凯乐科技
703,603939,益丰药房
704,603638,艾迪精密
705,603277,银都股份
706,603713,密尔克卫
707,600767,ST运盛
708,600288,大恒科技
709,600123,兰花科创
710,603456,九洲药业
711,601009,南京银行
712,600348,华阳股份
713,600592,龙溪股份
714,688129,东来技术
715,600322,天房发展
716,600350,山东高速
717,603901,永创智能
718,601717,郑煤机
719,600132,重庆啤酒
720,600881,亚泰集团
721,688365,光云科技
722,603225,新凤鸣
723,600596,新安股份
724,600261,阳光照明
725,605128,上海沿浦
726,688138,清溢光电
727,600779,水井坊
728,603980,吉华集团
729,688116,天奈科技
730,600560,金自天正
731,603767,中马传动
732,688312,燕麦科技
733,603929,亚翔集成
734,600725,ST云维
735,600070,浙江富润
736,600067,冠城大通
737,600969,郴电国际
