,0,1
579,002105,信隆健康
580,002259,*ST升达
581,000666,经纬纺机
582,000883,湖北能源
583,002824,和胜股份
584,300653,正海生物
585,002811,郑中设计
586,002166,莱茵生物
587,002872,ST天圣
588,000813,德展健康
589,000989,九 芝 堂
590,000623,吉林敖东
591,002231,奥维通信
592,300399,天利科技
593,300076,GQY视讯
594,002200,ST云投
595,000652,泰达股份
596,002279,久其软件
597,000812,陕西金叶
598,300051,三五互联
599,300822,贝仕达克
600,000042,中洲控股
601,002473,ST圣莱
602,002587,奥拓电子
603,002762,金发拉比
604,300619,金银河
605,000417,合肥百货
606,300396,迪瑞医疗
607,002858,力盛赛车
608,002699,美盛文化
609,000166,申万宏源
610,002479,富春环保
611,300420,五洋停车
612,300381,溢多利
613,300833,浩洋股份
614,002350,北京科锐
615,002029,七 匹 狼
616,002363,隆基机械
617,300089,文化长城
618,002731,萃华珠宝
619,300755,华致酒行
620,002976,瑞玛工业
621,002101,广东鸿图
622,000968,蓝焰控股
623,300385,雪浪环境
624,300407,凯发电气
625,000586,汇源通信
626,000905,厦门港务
627,000955,欣龙控股
628,000065,北方国际
629,000153,丰原药业
630,002730,电光科技
631,002888,惠威科技
632,300634,彩讯股份
633,300070,碧水源
634,002875,安奈儿
635,002099,海翔药业
636,002543,万和电气
637,000876,新 希 望
638,000756,新华制药
639,002410,广联达
640,300818,耐普矿机
641,300132,青松股份
642,002767,先锋电子
643,300383,光环新网
644,000576,甘化科工
645,300825,阿尔特
646,300743,天地数码
647,002462,嘉事堂
648,000048,京基智农
649,300516,久之洋
650,300776,帝尔激光
651,300450,先导智能
652,300950,德固特
653,300949,奥雅设计
654,300948,冠中生态
655,300947,德必集团
656,300946,恒而达
657,300945,曼卡龙
658,300943,春晖智控
659,300942,易瑞生物
660,300941,创识科技
661,300796,贝斯美
662,300709,精研科技
663,300525,博思软件
664,300438,鹏辉能源
665,300434,金石亚药
666,300431,暴风退
667,300426,唐德影视
668,300372,欣泰退
669,300362,天翔环境
670,300359,全通教育
671,300282,三盛教育
672,300218,安利股份
673,300216,千山退
674,300211,亿通科技
675,300198,纳川股份
676,300186,大华农
677,300156,神雾退
678,300104,乐视退
679,300090,盛运退
680,300071,华谊嘉信
681,300028,金亚退
682,003038,鑫铂股份
683,002917,金奥博
684,002898,赛隆药业
685,002840,华统股份
686,002741,光华科技
687,002735,王子新材
688,002714,牧原股份
689,002711,*ST欧浦
690,002693,双成药业
691,002691,冀凯股份
692,002687,乔治白
693,002680,长生退
694,002679,福建金森
695,002667,鞍重股份
696,002638,*ST勤上
697,002627,宜昌交运
698,002604,龙力退
699,002598,山东章鼓
700,002573,清新环境
701,002556,辉隆股份
702,002545,东方铁塔
703,002542,中化岩土
704,002530,金财互联
705,002509,天茂退
706,002504,弘高创意
707,002477,雏鹰退
708,002450,*ST康得
709,002447,*ST晨鑫
710,002391,长青股份
711,002359,*ST北讯
712,002352,顺丰控股
713,002320,海峡股份
714,002316,亚联发展
715,002314,南山控股
716,002284,亚太股份
717,002267,陕天然气
718,002260,*ST德奥
719,002248,华东数控
720,002220,天宝退
721,002219,*ST恒康
722,002175,ST东网
723,002143,印纪退
724,002140,东华科技
725,002076,*ST雪莱
726,002071,*ST长城
727,002070,众和退
728,002051,中工国际
729,002042,华孚时尚
730,002031,巨轮智能
731,002018,华信退
732,002002,鸿达兴业
733,000980,*ST众泰
734,000979,中弘退
735,000956,中原油气
736,000939,凯迪退
737,000916,华北高速
738,000898,鞍钢股份
739,000882,华联股份
740,000866,扬子石化
741,000838,财信发展
742,000833,粤桂股份
743,000832,*ST龙涤
744,000827,*ST长兴
